gene_name,gene_id,is_Secreted,State_Change_Region,CellType_Specific_Region,Spearman_Rho,P_Value,FDR,log2FoldChange,DEG_padj,Promoter_Meth_Healthy,Promoter_Meth_Altered,Delta_Promoter_Meth,DMR_Status,DMR_Meth_Healthy,DMR_Meth_Altered
HEATR5A,ENSG00000129493.15,False,None,None,0.051249755545566,0.668986850000596,0.832487010407059,0.0875300126341781,0.668094527650033,0.11810388300554715,0.12589508742714406,0.007791204421596906,None,,
ENSG00000203546,ENSG00000203546.7,False,None,None,,,,,,0.1494685354152949,0.15193408741795839,0.0024655520026634903,None,,
DTD2,ENSG00000129480.13,False,None,None,-0.0245100345567579,0.8380680052723366,0.9235642795164276,0.0975725347537544,0.766800568738336,0.16494952648558642,0.16754250386398764,0.0025929773784012233,None,,
GPR33,ENSG00000214943.5,False,None,None,0.1688956835151985,0.1561157444114846,0.4017420538192692,-0.0195516758758644,,0.965270684371808,0.9602763385146805,-0.004994345857127436,None,,
NUBPL,ENSG00000151413.17,True,None,None,0.086610930738301,0.4694237160538237,0.7011280613256798,0.108870797029304,0.698435658095582,0.9519230769230769,0.9770992366412213,0.025176159718144464,None,,
ARHGAP5,ENSG00000100852.14,False,None,None,0.1140112995588276,0.3402857287097729,0.5960896870171306,0.0027615374108129,0.986575656505054,0.04542616297221355,0.04793117574764441,0.0025050127754308593,None,,
AKAP6,ENSG00000151320.11,False,None,None,-0.0553622882980139,0.6441547936605168,0.8180171599089178,0.28824377377097,0.189164448221631,0.8711627906976744,0.90187265917603,0.03070986847835555,None,,
NPAS3,ENSG00000151322.20,False,None,PT_Heterochromatin,0.1859062998455981,0.1179295908900661,0.3494147736744833,-1.35229870308054,6.45837725682142e-06,0.017266347332070848,0.013891531874405328,-0.00337481545766552,None,,
EGLN3,ENSG00000129521.15,False,None,PT_Heterochromatin,0.2771747977975149,0.0184168224569782,0.1474526765534035,-0.336920864740001,0.208734573499324,0.26370446033367384,0.2626435377473736,-0.0010609225863002503,None,,
SPTSSA,ENSG00000165389.7,False,None,PT_Heterochromatin,0.0516296280488041,0.6666776979907327,0.8317641715977544,-0.0006600945215332,0.998613472015106,0.0503182418638165,0.04763437399420663,-0.0026838678696098697,None,,
EAPP,ENSG00000129518.10,False,None,PT_Heterochromatin,-0.0660317507802684,0.5815692524801754,0.7778531961106403,0.101832524547683,0.712056135492244,0.17762294254266384,0.20957901159243442,0.03195606904977058,None,,
SNX6,ENSG00000129515.20,False,None,PT_Heterochromatin,0.1137800728177261,0.3412724052671876,0.5970238369195249,-0.242793308988932,0.207092176270122,0.29419810783084466,0.3126279863481229,0.01842987851727823,None,,
